대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
data-science,Oracle SQL,데이터 분석의 첫걸음! 오라클 SQL 쉽게 배우기,모든 수준,"59,000",,2.5시간 주문형 동영상,"배울 내용
실무에서 필요한 데이터를 직접 뽑아낼 수 있습니다.
엑셀에서 처리할 수 없는 큰 데이터베이스를 관리할 수 있습니다.
수작업으로 수정하지 않고도 몇 개의 스크립트만으로 빅데이터를 이해, 관리할 수 있습니다.
보고서 작성을 위한 단계별로 체계적인 로지컬 뷰를 작성할 수 있습니다.",한국어,https://www.udemy.com/course/cloom-sql-oracle/
data-science,TensorFlow,【한글자막】 TensorFlow 2.0 : 딥러닝 모델 구현 마스터 패키지,초급자,"17,000",88000,13시간 주문형 동영상,"배울 내용
데이터 사이언스에서 TensorFlow 2.0을 사용하는 방법
TensorFlow 1.x와 Tensorflow 2.0의 주요 차이점
TensorFlow 2.0에서 인공 신경망을 구현하는 법
TensorFlow 2.0에서 CNN을 구현하는 법
TensorFlow 2.0에서 RNN을 구현하는 법
TensorFlow 2.0으로 자신만의 전이 학습 애플리케이션을 구축하는 법
강화학습(Deep Q-Learning) 모델을 통해 주식 거래 봇을 만드는 방법
TensorFlow 2.0에서 머신러닝 데이터 파이프라인을 구축하는 법
Tensorflow 변환을 사용하여 데이터 유효성 검사 및 데이터셋 전처리를 수행하는 법
TensorFlow 2.0로 구현한 모델을 실제 서비스에서 운영하는 법
더 보기",한국어,https://www.udemy.com/course/best-keras-api-tensorflow-20/
data-science,Artificial Intelligence,【한글자막】 AI : 인공 지능 마스터 클래스,모든 수준,"17,000",79000,12시간 주문형 동영상,"배울 내용
AI를 만드는 방법
하이브리드 지능 시스템을 만드는 방법
완전 연결형 신경
컨볼루션 신경망
반복 신경망
오토 인코더
가변 오토 인코더
혼합 밀도 네트워크
심층 강화 학습
정책 경사
유전 알고리즘
진화 전략
공분산 행렬 적응 진화 전략(CMA-ES)
컨트롤러
메타 학습
심층 신경 진화",한국어,https://www.udemy.com/course/best-ai-masterclass/
data-science,PySpark,【한글자막】 PySpark 로 빅데이터 분석하기 with Python,중급자,"17,000",88000,10.5시간 주문형 동영상,"배울 내용
Python과 Spark를 함께 사용하여 빅데이터 분석하기
새로운 Spark 2.0 DataFrame 신텍스을 사용하는 방법 알아보기
실제 상황을 모방한 컨설팅 프로젝트를 진행하기
로지스틱 회귀로 고객 이탈 분류하기
분류를 위해 랜덤 포레스트와 함께 Spark 사용하기
Spark의 Gradient Boosted Tree 사용 방법 알아보기
Spark의 MLlib를 사용하여 강력한 기계 학습 모델 만들기
DataBricks 플랫폼에 대해 알아보기
빅데이터 분석을 위한 Amazon Web Services EC2 설정하기
AWS Elastic MapReduce 서비스 사용 방법을 알아보기
더 보기",한국어,https://www.udemy.com/course/best-pyspark-spark-python/
data-science,Data Visualization,【한글자막】 Python 을 사용한 데이터 시각화,모든 수준,"17,000",79000,4.5시간 주문형 동영상,"배울 내용
데이터 시각화를 위한 가장 중요한 구성 요소를 이해
Python 라이브러리를 사용하여 다양한 유형의 그래프를 작성
Flotly, Matplotlib 및 Seaborn 사용 방법을 학습
새로운 통찰력을 얻고 데이터 또는 결과를 명확하게 설명하는 데 도움이 되는 도구를 구축
대화형 시각화를 생성",한국어,https://www.udemy.com/course/best-python-data-visualization/
data-science,Python,파이썬 머신러닝 Starter 강의 (초급),초급자,"17,000",69000,8.5시간 주문형 동영상,"배울 내용
파이썬 머신러닝 실행 가능
Orange3를 통한 메뉴 클릭 버전의 머신러닝 수행
분류(classification) 문제에 대한 4가지 머신러닝 모델 실행
머신러닝 및 딥러닝 개요 학습",한국어,https://www.udemy.com/course/stroke-starter/
data-science,Machine Learning,사무직 직장인 맞춤 | 실전예제로 배우는 파이썬 10시간 완성 | 판다스+크롤링+머신러닝,초급자,"17,000",69000,10시간 주문형 동영상,"배울 내용
판다스 - 데이터프레임, 필터, 그룹바이, 머지, 컨캣
크롤링 - Beautifulsoup, requests, selenium, HTML
머신러닝 - 아래 내용들
데이터전처리
선형회귀
오버샘플링, 언더샘플링
로지스틱회귀
분류모델의 성능확인
서포트 벡터 머신
결정트리, 앙상블 모델
교차검증, 크로스밸리데이션
그리드서치
파이프라인",한국어,https://www.udemy.com/course/6-pthfaw/
data-science,Data Science,왕초보 데이터 분석 with R,모든 수준,"17,000",79000,14시간 주문형 동영상,"배울 내용
R의 기초문법을 배웁니다.
R을 활용한 데이터 전처리, 시각화 등을 배웁니다.
R을 활용하여 캐글데이터를 배웁니다.
R을 활용하여 기초 통계를 배웁니다.",한국어,https://www.udemy.com/course/beginner_with_r/
data-science,ChatGPT,"직장인맞춤 | ChatGPT 로 배우는 초단기 파이썬 코딩 | 실전 문제 13개 | 판다스, 크롤링 포함",초급자,"17,000",49000,1.5시간 주문형 동영상,"배울 내용
코드 작성 없이 코딩 하는법
ChatGPT 활용하는 법
파이썬 기본 개념
판다스
크롤링(스크레이핑)",한국어,https://www.udemy.com/course/code_with_chatgpt/
data-science,Artificial Intelligence,【한글자막】 Deep Reinforcement Learning :딥 강화형 러닝 2.0,초급자,"17,000",69000,9.5시간 주문형 동영상,"배울 내용
Q러닝
딥 Q러닝
정책 그래디언트
액터 크리틱
심층 확정적 정책 그래디언트(DDPG)
트윈 딜레이 DDPG(TD3)
딥 강화형 러닝의 기초 기술
까다로운 가상 애플리케이션 이상의 최첨단 AI 모델을 실행하는 방법",한국어,https://www.udemy.com/course/best-deep-reinforcement-learning/
