대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
software-engineering,Technical Writing,Technical Writing: A Quick Start to Software Documentation,초급자,,,,,영어,https://www.udemy.com/course/technical-writing-a-quick-start-to-software-documentation/
software-engineering,QT Framework,Robust Qt & C++ Gui Programming 2D Graphics App Tutorial,초급자,,,,,영어,https://www.udemy.com/course/qt5-gui-cpp-programming-tutorial-2d-graphics/
software-engineering,JSON,JSON | Short Course | Step by Step for Beginners,모든 수준,,,,,영어,https://www.udemy.com/course/json-short-course-step-by-step-for-beginners/
software-engineering,TDD Test Driven Development,Introduction to TDD in C#,초급자,,,,,영어,https://www.udemy.com/course/intro-tdd/
software-engineering,Design Patterns (software),Learn Creational Design Patterns in Java,중급자,,,,,영어,https://www.udemy.com/course/learn-creational-design-patterns-in-java/
software-engineering,Software Engineering,Build a Streaming Twitter Filter with Python and Redis,중급자,,,,,영어,https://www.udemy.com/course/build-a-streaming-twitter-filter-with-python-and-redis/
software-engineering,Internet Of Things,IoT - Turn a light on with your iPhone,초급자,,,,,영어,https://www.udemy.com/course/iot-turn-a-light-on-with-your-iphone/
software-engineering,Software Engineering,Simple Blogging Analytics Dashboard in Python,중급자,무료,,,,영어,https://www.udemy.com/course/simple-blogging-analytics-dashboard-in-python/
software-engineering,Data Structures,Data Structures : Binary Tree Animations and Implementations,모든 수준,,,,,영어,https://www.udemy.com/course/data-structures-algorithms-java/
software-engineering,TDD Test Driven Development,"Practice TDD with Node, Typescript and Jest (checkout kata)",전문가,,,,,영어,https://www.udemy.com/course/practice-tdd-with-node-typescript-and-jest-checkout-kata/
software-engineering,Programming Fundamentals,Linked lists for absolute beginners,초급자,무료,,,,영어,https://www.udemy.com/course/linked-lists-for-absolute-beginners/
software-engineering,Coding Interview,10 popular coding interview problems,중급자,,,,,영어,https://www.udemy.com/course/10-problems/
software-engineering,Software Engineering,Java - Top 10 most viewed questions on Stack Overflow,모든 수준,,,,,영어,https://www.udemy.com/course/java-top-10-most-viewed-questions-on-stack-overflow/
software-engineering,FastAPI,"FastAPI Prerequisite: Pydantic, Dependency Injection, Python",초급자,,,,,영어,https://www.udemy.com/course/fastapi-tutorial/
software-engineering,ANSYS,ANSYS Fluent Training Course For Beginner Users,초급자,,,,,영어,https://www.udemy.com/course/ansys-fluent-training-course-beginner-intermediate/
software-engineering,System Design Interview,The Complete System Design Bootcamp,모든 수준,,,,,영어,https://www.udemy.com/course/the-complete-system-design-bootcamp/
software-engineering,Software Development,Learn GitHub Codespaces For Java Development,모든 수준,,,,,영어,https://www.udemy.com/course/learn-github-codespaces-for-java-development/
software-engineering,Data Structures,Learning Tree Data structure [Java],모든 수준,,,,,영어,https://www.udemy.com/course/tree-data-structure/
software-engineering,Blockchain,Intro to Custom Building Blockchains With Substrate,중급자,,,,,영어,https://www.udemy.com/course/intro-to-custom-building-blockchains-with-substrate/
software-engineering,Windows Presentation Foundation,Learn to setup Page Navigation in WPF - MVVM,중급자,,,,,영어,https://www.udemy.com/course/learn-to-setup-page-navigation-in-wpf-mvvm/
software-engineering,SOLID Principles,Test Driven SOLID Principles,초급자,,,,,영어,https://www.udemy.com/course/test-driven-solid-principles/
